1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	74
1	J	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	2121
4	R	2121
4	W	2122
0	R	2122
4	J	2158
4	R	2158
4	W	2158
0	R	2158
4	J	2221
4	R	2221
4	W	2221
0	R	2221
4	J	2294
4	R	2294
4	W	2294
0	R	2294
4	J	2889
4	R	2889
4	W	2889
0	R	2889
4	J	2942
4	R	2942
4	W	2942
0	R	2942
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3178
4	R	3178
4	W	3178
0	R	3178
4	J	3233
4	R	3233
4	W	3233
0	R	3233
4	J	3414
4	R	3414
4	W	3414
0	R	3414
4	J	3433
4	R	3433
4	W	3433
0	R	3433
4	J	3913
4	R	3913
6	N	3915
6	J	3916
4	W	3916
6	R	3916
6	E	3933
4	J	3933
4	R	3933
7	N	3933
7	J	3934
4	W	3934
7	R	3934
4	J	3936
7	E	3937
4	R	3937
4	W	3937
0	R	3937
4	J	8710
4	R	8710
4	W	8710
0	R	8710
4	J	8760
4	R	8760
4	W	8760
0	R	8760
4	J	8853
4	R	8853
4	W	8853
0	R	8853
4	J	8919
4	R	8919
4	W	8919
0	R	8919
4	J	8982
4	R	8982
4	W	8982
0	R	8983
4	J	9041
4	R	9041
4	W	9041
0	R	9041
4	J	10299
4	R	10299
4	W	10299
0	R	10300
4	J	11062
4	R	11062
4	W	11062
0	R	11062
4	J	11094
4	R	11094
4	W	11094
0	R	11094
4	J	11358
4	R	11358
4	W	11358
0	R	11358
4	J	11398
4	R	11398
4	W	11398
0	R	11399
4	J	11795
4	R	11795
4	W	11795
0	R	11795
4	J	11829
4	R	11829
4	W	11829
0	R	11829
4	J	15575
4	R	15575
4	W	15575
0	R	15575
4	J	15599
4	R	15599
4	W	15599
0	R	15599
4	J	16235
4	R	16235
4	W	16235
0	R	16236
4	J	16279
4	R	16279
4	W	16279
0	R	16279
4	J	16721
4	R	16721
4	W	16721
0	R	16721
4	J	17205
4	R	17205
4	W	17205
0	R	17205
4	J	17251
4	R	17251
4	W	17252
0	R	17252
4	J	17850
4	R	17850
4	W	17851
0	R	17851
4	J	17895
4	R	17895
4	W	17895
0	R	17895
4	J	18031
4	R	18031
4	W	18031
0	R	18031
4	J	18059
4	R	18059
4	W	18059
0	R	18059
4	J	18302
4	R	18302
4	W	18302
0	R	18302
4	J	18362
4	R	18362
4	W	18362
0	R	18362
4	J	18455
4	R	18455
4	W	18455
0	R	18455
4	J	18510
4	R	18510
4	W	18510
0	R	18511
4	J	18942
4	R	18942
4	W	18942
0	R	18942
4	J	20373
4	R	20373
4	W	20373
0	R	20373
4	J	20401
4	R	20401
4	W	20401
0	R	20401
4	J	20939
4	R	20940
4	W	20940
0	R	20940
4	J	20969
4	R	20969
4	W	20969
0	R	20969
4	J	21513
4	R	21513
4	W	21513
0	R	21513
4	J	21572
4	R	21572
4	W	21572
0	R	21572
4	J	21635
4	R	21635
4	W	21635
0	R	21635
4	J	21666
4	R	21666
4	W	21666
0	R	21666
4	J	22988
4	R	22988
4	W	22989
0	R	22989
4	J	23059
4	R	23059
4	W	23059
0	R	23059
4	J	23561
4	R	23561
4	W	23561
0	R	23561
4	J	23614
4	R	23614
4	W	23614
0	R	23614
4	J	23713
4	R	23713
4	W	23714
0	R	23714
4	J	23763
4	R	23763
4	W	23763
0	R	23763
4	J	23804
4	R	23804
4	W	23805
0	R	23805
4	J	23867
4	R	23867
4	W	23867
0	R	23867
4	J	25116
4	R	25116
4	W	25116
0	R	25116
4	J	25140
